gift_idea,average_price_gbp,average_rating,main_categories,sub_categories,num_products
Aisna Women'S Handbag,25.73763058823529,3.854893617021277,"['stores', ""kids' fashion"", 'bags & luggage', 'sports & fitness', 'accessories']","['Wallets', 'Bags & Luggage', 'Suitcases & Trolley Bags', 'Baby Fashion', 'The Designer Boutique', 'Fashion Sales & Deals', 'Travel Accessories', 'Handbags & Clutches', 'Backpacks', 'Amazon Fashion', 'Camping & Hiking', ""Men's Fashion"", 'Travel Duffles', 'School Bags', 'All Sports, Fitness & Outdoors', ""Women's Fashion""]",8642
Allen Solly Men Shirt,18.431721907841553,3.8240802675585286,"['stores', ""kids' fashion"", 'bags & luggage', ""men's clothing"", ""women's clothing"", 'industrial supplies', ""men's shoes"", 'sports & fitness', 'music', 'accessories', 'home & kitchen']","['Bags & Luggage', 'Ethnic Wear', 'Cricket', 'T-shirts & Polos', 'Western Wear', 'Amazon Fashion', ""Men's Fashion"", 'Football', 'Running', 'All Sports, Fitness & Outdoors', 'Lab & Scientific', 'Travel Accessories', 'All Home & Kitchen', 'All Exercise & Fitness', ""Kids' Clothing"", 'Wallets', 'Lingerie & Nightwear', 'Musical Instruments & Professional Audio', 'Baby Fashion', ""Kids' Fashion"", 'Casual Shoes', 'Handbags & Clutches', 'Jeans', 'Shirts', 'Clothing', 'Innerwear', 'Sports Shoes']",2478
Amazon Brand - Symbol-Sy-Az-15-Silver-4,15.958636363636362,3.9165551250440296,"['beauty & health', 'stores', ""kids' fashion"", 'bags & luggage', ""women's shoes"", 'appliances', ""men's clothing"", ""women's clothing"", 'industrial supplies', ""men's shoes"", 'car & motorbike', 'sports & fitness', 'toys & baby products', 'grocery & gourmet foods', 'accessories', 'tv, audio & cameras', 'home & kitchen']","['Cricket', 'T-shirts & Polos', 'Heating & Cooling Appliances', ""Men's Fashion"", 'Football', 'School Bags', 'Indoor Lighting', 'Shoes', 'Home Furnishing', 'Lingerie & Nightwear', 'Industrial & Scientific Supplies', 'Yoga', ""Women's Fashion"", 'Janitorial & Sanitation Supplies', 'All Electronics', 'Cycling', 'Running', 'Formal Shoes', 'Car Electronics', 'Furniture', 'Kitchen & Dining', 'Sportswear', 'Diapers', ""Kids' Clothing"", 'Wallets', 'Car Accessories', 'The Designer Boutique', 'Fashion & Silver Jewellery', 'Snack Foods', 'Value Bazaar', 'Cameras', 'Diet & Nutrition', 'Home Storage', 'Garden & Outdoors', 'Sports Shoes', 'Bags & Luggage', 'Ethnic Wear', 'Speakers', 'All Grocery & Gourmet Foods', 'Amazon Fashion', 'All Sports, Fitness & Outdoors', 'Kitchen & Home Appliances', 'Suitcases & Trolley Bags', 'Travel Accessories', 'Badminton', 'Bedroom Linen', 'All Car & Motorbike Products', 'Household Supplies', 'Strength Training', 'Baby Fashion', 'Casual Shoes', 'Handbags & Clutches', 'Home Improvement', 'Shirts', 'Fitness Accessories', 'Make-up', 'Clothing', 'Innerwear', 'Backpacks', ""Kids' Shoes"", 'All Appliances', 'Western Wear', 'Toys & Games', 'Coffee, Tea & Beverages', 'Watches', 'Health & Personal Care', 'All Home & Kitchen', 'All Exercise & Fitness', 'Home Décor', ""Kids' Fashion"", 'Beauty & Grooming', 'Jeans', 'Baby Products', 'Car & Bike Care', 'Jewellery', 'Kitchen Storage & Containers', 'Headphones', 'Sewing & Craft Supplies']",6026
And Women Top,15.343290439163288,3.828613868560249,"['beauty & health', 'stores', ""kids' fashion"", 'bags & luggage', ""women's shoes"", 'appliances', ""men's clothing"", ""women's clothing"", 'industrial supplies', ""men's shoes"", 'car & motorbike', 'sports & fitness', 'toys & baby products', 'grocery & gourmet foods', 'accessories', 'music', 'tv, audio & cameras', 'home & kitchen']","['Cricket', 'T-shirts & Polos', ""Men's Fashion"", 'Football', 'School Bags', 'Lab & Scientific', 'Fashion Sandals', 'Travel Duffles', 'Shoes', 'Home Furnishing', 'Ballerinas', 'Lingerie & Nightwear', 'Yoga', ""Women's Fashion"", 'Janitorial & Sanitation Supplies', 'All Electronics', 'Cycling', 'Running', 'Formal Shoes', 'Rucksacks', 'Gold & Diamond Jewellery', 'Kitchen & Dining', 'Sportswear', 'Diapers', ""Kids' Clothing"", 'Wallets', 'The Designer Boutique', 'Fashion & Silver Jewellery', 'Value Bazaar', 'Diet & Nutrition', 'Home Storage', 'Garden & Outdoors', 'Sports Shoes', ""Kids' Watches"", 'Ethnic Wear', 'Bags & Luggage', 'All Grocery & Gourmet Foods', 'Amazon Fashion', 'All Sports, Fitness & Outdoors', 'Kitchen & Home Appliances', 'Suitcases & Trolley Bags', 'Travel Accessories', 'Badminton', 'Bedroom Linen', 'All Car & Motorbike Products', 'Musical Instruments & Professional Audio', 'Household Supplies', 'Strength Training', 'Baby Fashion', 'Casual Shoes', 'Handbags & Clutches', 'Home Improvement', 'Shirts', 'Personal Care Appliances', 'Fitness Accessories', 'Make-up', 'Clothing', 'Innerwear', 'Backpacks', 'Motorbike Accessories & Parts', ""Kids' Shoes"", 'Luxury Beauty', 'Western Wear', 'Toys & Games', 'Coffee, Tea & Beverages', 'Sunglasses', 'Watches', 'Health & Personal Care', 'All Home & Kitchen', 'All Exercise & Fitness', 'Home Décor', ""Kids' Fashion"", 'Camping & Hiking', 'Beauty & Grooming', 'Jeans', 'Baby Products', 'Jewellery', 'Kitchen Storage & Containers', 'Sewing & Craft Supplies']",36938
And Women'S Shrugs,17.150255027865274,3.778486438548518,"['beauty & health', 'stores', 'pet supplies', ""kids' fashion"", 'bags & luggage', ""women's shoes"", ""men's clothing"", ""women's clothing"", 'industrial supplies', ""men's shoes"", 'car & motorbike', 'sports & fitness', 'toys & baby products', 'grocery & gourmet foods', 'accessories', 'tv, audio & cameras', 'home & kitchen']","[""Men's Fashion"", ""Kids' Watches"", 'Ethnic Wear', 'Cricket', 'Bags & Luggage', 'Camera Accessories', 'T-shirts & Polos', 'Luxury Beauty', 'All Grocery & Gourmet Foods', 'Amazon Fashion', 'Toys & Games', 'Cycling', 'Coffee, Tea & Beverages', 'All Pet Supplies', 'Sunglasses', 'Running', 'Football', 'School Bags', 'All Sports, Fitness & Outdoors', 'Formal Shoes', 'Watches', 'Suitcases & Trolley Bags', 'Fashion Sandals', 'Baby Bath, Skin & Grooming', 'Travel Accessories', 'Shoes', 'Gold & Diamond Jewellery', 'All Exercise & Fitness', 'Home Furnishing', 'Western Wear', 'Ballerinas', 'Sportswear', ""Kids' Clothing"", 'All Car & Motorbike Products', 'Wallets', 'Lingerie & Nightwear', 'Baby Fashion', 'The Designer Boutique', ""Kids' Fashion"", 'Casual Shoes', 'Fashion & Silver Jewellery', 'Handbags & Clutches', 'Beauty & Grooming', 'Jeans', 'Baby Products', 'Jewellery', 'Cameras', 'Diet & Nutrition', 'Shirts', 'Fashion Sales & Deals', 'Make-up', 'Clothing', 'Industrial & Scientific Supplies', 'Innerwear', 'Sports Shoes', 'Backpacks', 'Motorbike Accessories & Parts', 'Yoga', ""Kids' Shoes"", ""Women's Fashion"", 'Sewing & Craft Supplies']",33434
Aones Pack Of 2 Silicone Watch Strap Compatible For Aqfit W6 Smart Watch Band Black,9.825252837977295,3.7369747899159664,"['stores', ""kids' fashion"", 'sports & fitness', 'toys & baby products', 'accessories', 'tv, audio & cameras']","[""Kids' Watches"", 'Cameras', 'Camera Accessories', ""Kids' Fashion"", 'All Electronics', 'Fashion & Silver Jewellery', 'Amazon Fashion', ""Men's Fashion"", 'Running', 'Strollers & Prams', 'Watches']",3886
Arrow Men Shirt,20.231410177805028,3.8607734806629836,"['stores', ""kids' fashion"", ""men's clothing"", ""women's clothing"", ""men's shoes"", 'sports & fitness', 'accessories']","[""Kids' Watches"", 'Shirts', 'T-shirts & Polos', 'Clothing', 'Casual Shoes', 'Badminton', ""Men's Fashion"", 'Jeans', 'Formal Shoes', 'Jewellery']",4060
Avsar 18K Yellow Gold And Diamond Ring For Women,260.9914301191766,2.9865671641791045,['accessories'],['Gold & Diamond Jewellery'],7384
Ayukta Women'S Cotton Salwar Suit Set,22.789420442571124,3.6783898305084746,"['stores', ""kids' fashion"", ""men's clothing"", ""women's clothing"", ""men's shoes"", 'sports & fitness', 'accessories']","['Ethnic Wear', 'Cricket', 'T-shirts & Polos', 'Western Wear', 'Amazon Fashion', ""Men's Fashion"", 'Football', 'All Exercise & Fitness', ""Kids' Clothing"", 'Lingerie & Nightwear', 'Baby Fashion', 'The Designer Boutique', ""Kids' Fashion"", 'Casual Shoes', 'Jewellery', 'Clothing', 'Innerwear', 'Yoga', ""Women's Fashion""]",5736
B-Ned-K Men'S Muccasin Shoes::Nagara Shoes For Men::Trending Shoes Shoes For Men And Boys::Slip-On Shoes For Men,35.71940817520689,3.6322955459556083,"['stores', 'pet supplies', ""women's shoes"", ""kids' fashion"", 'bags & luggage', ""men's clothing"", ""women's clothing"", 'industrial supplies', ""men's shoes"", 'sports & fitness', 'toys & baby products', 'accessories', 'home & kitchen']","['Bags & Luggage', 'Cricket', 'T-shirts & Polos', 'Amazon Fashion', ""Men's Fashion"", 'Cycling', 'Football', 'Running', 'All Sports, Fitness & Outdoors', 'Formal Shoes', 'Fashion Sandals', 'Furniture', 'Badminton', 'Shoes', 'All Exercise & Fitness', 'Home Décor', 'Sportswear', 'Ballerinas', ""Kids' Clothing"", 'Wallets', 'Baby Fashion', 'The Designer Boutique', ""Kids' Fashion"", 'Casual Shoes', 'Handbags & Clutches', 'Dog supplies', 'Baby Products', 'Jewellery', 'Shirts', 'Fashion Sales & Deals', 'Clothing', 'Industrial & Scientific Supplies', 'Innerwear', 'Sports Shoes', ""Kids' Shoes"", ""Women's Fashion""]",24932
